id,first_name,second_name,web_name,team,team_name,position,price,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,form,points_per_game,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,status,chance_of_playing_next_round,code
493,"Giovani","Lo Celso","Lo Celso",18,"Spurs","Midfielder","4.9",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,200826
494,"James","Maddison","Maddison",18,"Spurs","Midfielder","7.4",118,1514,9,6,5,14,516,"0.7","4.4","4.7","168.5","618.6","593.1","476.0","5.42","5.46","10.88","27.65",6,0,0,0,0,"a",100,172780
495,"Pedro","Porro","Pedro Porro",18,"Spurs","Defender","5.3",93,2277,2,5,6,5,406,"1.0","3.3","19.3","160.6","673.0","744.2","187.0","1.50","3.65","5.15","43.07",2,0,0,0,0,"a",100,441164
496,"Sergio","Reguilón","Reguilón",18,"Spurs","Defender","4.1",1,121,0,0,0,0,17,"0.0","0.3","0.2","5.2","20.8","20.2","11.0","0.07","0.24","0.31","1.18",2,0,0,0,0,"a",,199249
497,"Richarlison","de Andrade","Richarlison",18,"Spurs","Forward","6.8",20,275,2,1,1,0,90,"0.0","2.2","0.3","29.0","119.8","54.8","116.0","1.17","0.58","1.75","4.36",1,0,0,0,0,"d",50,212319
498,"Cristian","Romero","Romero",18,"Spurs","Defender","4.9",44,1101,1,0,3,3,221,"3.0","3.1","3.4","53.4","275.8","96.6","159.0","1.06","0.75","1.81","14.62",1,0,0,0,0,"a",100,221632
499,"Pape Matar","Sarr","P.M.Sarr",18,"Spurs","Midfielder","4.7",60,1386,3,2,2,4,312,"3.3","2.2","0.2","74.8","348.0","230.3","173.0","3.12","0.61","3.73","28.13",5,0,0,0,0,"a",100,482442
500,"Dane","Scarlett","Scarlett",18,"Spurs","Forward","4.4",6,31,0,1,0,0,20,"0.3","2.0","0.8","5.2","24.4","11.0","17.0","0.04","0.00","0.04","0.83",0,0,0,0,0,"a",100,490145
502,"Manor","Solomon","Solomon",18,"Spurs","Midfielder","5.4",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,235674
503,"Son","Heung-min","Son",18,"Spurs","Midfielder","9.7",123,1855,7,10,4,12,529,"2.7","4.7","5.5","196.0","616.8","709.4","633.0","6.66","4.69","11.35","34.08",1,0,0,0,1,"a",100,85971
504,"Djed","Spence","Spence",18,"Spurs","Defender","4.4",42,1063,1,1,3,6,197,"1.0","2.6","1.1","53.1","297.8","170.7","62.0","0.28","0.94","1.22","21.08",1,1,0,0,0,"a",100,232859
505,"Destiny","Udogie","Udogie",18,"Spurs","Defender","4.8",43,1653,0,1,2,0,244,"1.3","2.0","1.4","67.3","315.6","231.5","124.0","0.31","1.14","1.45","27.64",2,0,0,0,0,"a",100,487053
506,"Micky","van de Ven","Van de Ven",18,"Spurs","Defender","4.5",29,817,0,2,2,2,127,"0.3","2.9","2.4","24.6","168.6","36.7","40.0","0.35","0.69","1.04","10.70",4,0,0,0,0,"a",100,491279
507,"Alejo","Véliz","Veliz",18,"Spurs","Forward","5.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,536908
508,"Guglielmo","Vicario","Vicario",18,"Spurs","Goalkeeper","4.8",56,1530,0,0,4,2,259,"2.3","3.3","1.8","44.2","443.4","0.0","0.0","0.00","0.00","0.00","23.21",1,0,51,0,0,"a",100,184254
509,"Timo","Werner","Werner",18,"Spurs","Midfielder","6.2",34,504,0,3,1,2,120,"0.3","1.9","0.1","37.1","114.6","148.0","113.0","1.04","1.55","2.59","11.41",0,0,0,0,0,"a",100,165153
